environment;line;div;week;total;d_sum;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14
T;2;sfl;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;OD;sfl;4;4;11;0;1;3;0;0;0;0;0;0;0;0;0;0;0
T;Flora;sfl;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
G;S1;mix;4;33;107;7;8;5;3;5;3;2;0;0;0;0;0;0;0
G;S2;mix;4;42;85;19;11;8;1;2;1;0;0;0;0;0;0;0;0
G;S3;mix;4;20;46;10;2;6;0;0;0;2;0;0;0;0;0;0;0
G;S4;mix;4;35;124;6;7;6;4;5;4;3;0;0;0;0;0;0;0
G;S5;mix;4;43;161;6;10;11;3;0;6;3;3;1;0;0;0;0;0
G;S6;mix;4;26;42;13;12;0;0;1;0;0;0;0;0;0;0;0;0
G;S7;mix;4;40;121;12;5;5;10;4;4;0;0;0;0;0;0;0;0
G;S8;mix;4;66;211;27;9;7;0;2;18;0;0;3;0;0;0;0;0
G;GH;sfl;4;4;13;0;1;1;2;0;0;0;0;0;0;0;0;0;0
G;Bourg;sfl;4;19;53;3;4;7;4;1;0;0;0;0;0;0;0;0;0
G;SRVL;sfl;4;15;49;2;1;6;3;3;0;0;0;0;0;0;0;0;0
G;Steven;sfl;4;29;79;8;10;5;1;0;4;0;1;0;0;0;0;0;0
G;Citadel;sfl;4;52;172;4;21;9;8;1;3;4;2;0;0;0;0;0;0
G;2;sfl;4;19;65;1;2;11;1;2;1;1;0;0;0;0;0;0;0
G;OD;sfl;4;29;156;1;2;4;1;1;12;6;2;0;0;0;0;0;0
G;Flora;sfl;4;28;47;11;16;0;1;0;0;0;0;0;0;0;0;0;0
B;S1;mix;5;31;120;4;4;7;5;4;3;3;1;0;0;0;0;0;0
B;S2;mix;5;30;133;2;1;2;15;3;4;1;1;1;0;0;0;0;0
B;S3;mix;5;26;66;9;4;5;6;2;0;0;0;0;0;0;0;0;0
B;S4;mix;5;21;67;2;8;1;7;0;3;0;0;0;0;0;0;0;0
B;S5;mix;5;46;222;4;3;6;0;17;9;3;2;2;0;0;0;0;0
B;S6;mix;5;72;328;6;17;9;10;5;6;6;4;4;5;0;0;0;0
B;S7;mix;5;41;302;0;0;0;7;5;5;7;7;1;3;2;0;3;1
B;S8;mix;5;28;102;5;3;10;2;0;4;3;1;0;0;0;0;0;0
B;GH;sfl;5;9;18;4;3;1;0;1;0;0;0;0;0;0;0;0;0
B;Bourg;sfl;5;36;78;22;1;4;5;2;2;0;0;0;0;0;0;0;0
B;SRVL;sfl;5;73;350;10;11;15;5;4;9;3;4;6;0;2;3;0;1
B;Steven;sfl;5;19;79;2;2;3;4;0;8;0;0;0;0;0;0;0;0
B;Citadel;sfl;5;44;157;1;1;23;12;5;2;0;0;0;0;0;0;0;0
B;2;sfl;5;9;29;2;1;2;1;3;0;0;0;0;0;0;0;0;0
B;OD;sfl;5;11;18;6;3;2;0;0;0;0;0;0;0;0;0;0;0
B;Flora;sfl;5;32;89;5;7;10;10;0;0;0;0;0;0;0;0;0;0
T;S1;mix;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;S2;mix;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;S3;mix;5;69;201;6;24;23;4;10;2;0;0;0;0;0;0;0;0
T;S4;mix;5;42;137;10;3;9;9;8;3;0;0;0;0;0;0;0;0
T;S5;mix;5;15;36;1;10;3;0;0;1;0;0;0;0;0;0;0;0
T;S6;mix;5;35;127;6;1;6;12;8;1;1;0;0;0;0;0;0;0
T;S7;mix;5;10;18;3;6;1;0;0;0;0;0;0;0;0;0;0;0
T;S8;mix;5;14;32;5;4;3;0;2;0;0;0;0;0;0;0;0;0
T;GH;sfl;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;Bourg;sfl;5;3;5;2;0;1;0;0;0;0;0;0;0;0;0;0;0
T;SRVL;sfl;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
T;Steven;sfl;5;1;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0
T;Citadel;sfl;5;47;204;10;2;8;4;4;10;4;3;2;0;0;0;0;0
T;2;sfl;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;OD;sfl;5;12;24;5;2;5;0;0;0;0;0;0;0;0;0;0;0
T;Flora;sfl;5;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
G;S1;mix;5;16;68;2;4;1;3;1;2;1;0;1;1;0;0;0;0
G;S2;mix;5;27;118;2;5;4;3;1;9;2;0;1;0;0;0;0;0
G;S3;mix;5;22;113;1;3;6;0;2;2;2;2;4;0;0;0;0;0
G;S4;mix;5;45;178;10;1;10;5;5;9;4;0;1;0;0;0;0;0
G;S5;mix;5;74;434;5;2;13;8;8;9;6;3;12;3;4;1;0;0
G;S6;mix;5;44;132;10;8;12;2;10;2;0;0;0;0;0;0;0;0
G;S7;mix;5;47;186;8;4;15;2;4;7;4;1;1;1;0;0;0;0
G;S8;mix;5;24;83;7;6;2;0;3;3;1;0;2;0;0;0;0;0
G;GH;sfl;5;27;65;7;6;12;0;2;0;0;0;0;0;0;0;0;0
G;Bourg;sfl;5;28;73;13;3;5;1;1;5;0;0;0;0;0;0;0;0
G;SRVL;sfl;5;52;263;6;4;6;2;10;10;4;5;5;0;0;0;0;0
G;Steven;sfl;5;21;96;5;1;2;2;0;7;0;3;1;0;0;0;0;0
G;Citadel;sfl;5;44;226;3;8;4;2;1;12;5;7;1;1;0;0;0;0
G;2;sfl;5;22;117;4;2;4;0;0;5;0;1;3;2;0;1;0;0
G;OD;sfl;5;12;78;1;0;1;2;0;0;4;1;1;1;1;0;0;0
G;Flora;sfl;5;24;85;4;2;7;3;4;4;0;0;0;0;0;0;0;0
